Puzzle    MSDS    Contradiction    Backtrack
001          1                0            0
004          1                0            0
012          1                0            0
015          1                0            0
027          1                0            0
039          1                0            0
042          1                0            0
048          1                0            0
049          1                0            0
051          1                0            0
072          1                0            0
077          1                0            0
085          1                0            0
088          1                0            0
089          1                0            0
092          1                0            0
093          1                0            0
